adult/id,adult_ticket_order_number,type_of_ticket,amount,attended,isOwner,adult/children_no,adult/createdAt,adult/updatedAt
490e48f1-2251-490d-b522-5a71a6a33f83,SF/ORNo/LFM31,group,2500,FALSE,FALSE,,2023-07-20T14:46:59.000Z,2023-07-20T14:46:59.000Z
18ca177e-bd62-42b7-bb56-3d53c439e9a5,SF/ORNo/L5CYN,individual,3000,FALSE,FALSE,,2023-07-21T18:40:23.000Z,2023-07-21T18:40:23.000Z
d2b1484d-6c51-4065-bc5f-d41935bde7fa,SFF/ORNo/00115,group,2500,FALSE,TRUE,4,2023-07-14T12:34:50.000Z,2023-07-20T20:44:32.000Z
a222eda3-519f-4803-924d-4c1727328ef8,SF/ORNo/MFOLO,group,2500,FALSE,FALSE,,2023-07-20T18:28:22.000Z,2023-07-20T18:30:29.000Z
204d7685-c1f8-450b-a484-4d6e83201202,SF/ORNo/MPGO8,group,2500,FALSE,FALSE,,2023-07-21T13:20:20.000Z,2023-07-21T20:58:49.000Z
e980a200-21e1-4141-9e04-76dc76e72e1e,SF/ORNo/B7XOO,individual,3000,TRUE,TRUE,1,2023-07-15T15:02:00.000Z,2023-07-22T12:25:48.000Z
5cdfa613-1b86-4bf1-840c-8f7a355ecb59,SFF/ORNo/00614,group,2000,FALSE,FALSE,4,2023-07-21T18:30:26.000Z,2023-07-21T18:52:56.000Z
e1683048-6814-49df-8ed5-cfb3765b6676,SFF/ORNo/00128,group,2500,FALSE,TRUE,5,2023-07-15T17:26:46.000Z,2023-07-22T09:26:18.000Z
3d1ed68b-38e0-4ec6-aa21-6dd656234168,SFF/ORNo/00015,group,2500,FALSE,TRUE,4,2023-07-14T12:20:38.000Z,2023-07-20T20:43:33.000Z
2188bf40-f6a6-4de1-8831-3a717e8995c0,SFF/ORNo/00569,group,2000,FALSE,FALSE,4,2023-07-21T15:42:22.000Z,2023-07-21T16:12:25.000Z
d574641f-2c31-457f-9f60-3f36121f9274,SFF/ORNo/00045,group,2500,FALSE,TRUE,4,2023-07-14T12:20:43.000Z,2023-07-20T20:45:23.000Z
083b323a-ca59-444f-9b37-94f907862ec8,SFF/ORNo/00543,group,2000,TRUE,TRUE,3,2023-07-20T19:00:03.000Z,2023-07-22T11:06:31.000Z
c8d97c75-23e5-4d92-a7cf-7d8be068a221,SF/ORNo/JVIEF,group,2500,FALSE,FALSE,,2023-07-20T12:49:45.000Z,2023-07-20T12:51:25.000Z
a3a49243-b72c-46f0-81a8-9dbb6622ae41,SF/ORNo/MK5FG,individual,3000,TRUE,FALSE,,2023-07-15T12:43:51.000Z,2023-07-20T01:02:50.000Z
f685f0d4-6ecb-4824-a998-6b45a601065f,SF/ORNo/XDN15,individual,3000,FALSE,FALSE,,2023-07-21T19:29:03.000Z,2023-07-21T19:53:18.000Z
a3a00879-e579-4b88-aebb-80a525844632,SF/ORNo/AMVIH,individual,3000,FALSE,FALSE,,2023-07-21T11:56:21.000Z,2023-07-21T11:58:22.000Z
d4f57602-57ea-47fb-9a57-ffceb3cbd198,SFF/ORNo/00292,group,2000,FALSE,TRUE,2,2023-07-20T20:18:38.000Z,2023-07-20T20:18:38.000Z
b0079305-1e5f-409b-ab84-fc97ccff32d2,SF/ORNo/WUHUZ,group,2500,FALSE,FALSE,,2023-07-21T04:58:34.000Z,2023-07-21T05:01:17.000Z
d6a50cc9-a6fc-40c6-9754-e606c8a1e198,SFF/ORNo/00038,individual,3000,TRUE,TRUE,0,2023-07-14T12:20:42.000Z,2023-07-20T20:43:47.000Z
7a2fcc26-f6b7-4069-b2ab-8d779cac5d76,SF/ORNo/CY3PT,group,2500,FALSE,FALSE,,2023-07-15T14:48:20.000Z,2023-07-17T22:30:14.000Z
93e2806b-fc09-48b0-99c2-7a31272bf38c,SF/ORNo/4UGWA,group,2500,FALSE,FALSE,,2023-07-21T16:02:37.000Z,2023-07-21T16:04:25.000Z
a222eda3-519f-4803-924d-4c1727328ef8,SF/ORNo/MFOLO,group,2500,FALSE,FALSE,,2023-07-20T18:28:22.000Z,2023-07-20T18:30:29.000Z
aeb0651e-b5ff-4679-81d1-70bca10c2289,SF/ORNo/NSG2O,group,2500,FALSE,FALSE,,2023-07-21T08:39:19.000Z,2023-07-21T08:45:11.000Z
90b2e4bb-ddc2-4413-9262-885e1570b83c,SF/ORNo/KRG7Y,group,2500,FALSE,FALSE,,2023-07-21T10:09:02.000Z,2023-07-21T11:31:06.000Z
78cffb58-642b-4652-a988-6b7a677f0653,SFF/ORNo/00604,group,2000,FALSE,FALSE,0,2023-07-21T18:30:25.000Z,2023-07-21T18:52:48.000Z
a42de27a-6cd3-4100-bdcd-0e62d0416754,SFF/ORNo/00253,group,2000,FALSE,TRUE,1,2023-07-20T08:20:47.000Z,2023-07-20T09:24:00.000Z
b5f2f2d7-c85c-4bf3-88ba-c01402b41267,SFF/ORNo/00061,individual,3000,FALSE,TRUE,0,2023-07-14T12:20:47.000Z,2023-07-20T20:43:59.000Z
28208978-8777-4135-a8be-245ebf7f3b84,SFF/ORNo/00174,group,2500,TRUE,TRUE,2,2023-07-15T17:26:56.000Z,2023-07-20T20:45:24.000Z
